# with_IVC: True
# date [%Y-%m-%d %H:%M:%S], fill_height [cm], volume [L], percentage [%]
2022-04-23 00:00:02, 102.3, 65.23867924528301, 82.58060663959874
2022-04-23 00:00:06, 102.3, 65.23867924528301, 82.58060663959874
2022-04-23 00:00:12, 102.3, 65.23867924528301, 82.58060663959874
2022-04-23 00:00:16, 102.3, 65.23867924528301, 82.58060663959874
2022-04-23 00:00:20, 102.3, 65.23867924528301, 82.58060663959874
2022-04-23 00:00:27, 102.3, 65.23867924528301, 82.58060663959874
2022-04-23 00:00:31, 102.3, 65.23867924528301, 82.58060663959874
2022-04-23 00:00:37, 102.3, 65.23867924528301, 82.58060663959874
2022-04-23 00:00:41, 102.3, 65.23867924528301, 82.58060663959874
2022-04-23 00:00:46, 102.3, 65.23867924528301, 82.58060663959874
2022-04-23 00:00:52, 102.3, 65.23867924528301, 82.58060663959874
2022-04-23 00:00:56, 102.3, 65.23867924528301, 82.58060663959874
2022-04-23 00:01:02, 102.3, 65.23867924528301, 82.58060663959874
2022-04-23 00:01:07, 102.3, 65.23867924528301, 82.58060663959874
2022-04-23 00:01:11, 102.3, 65.23867924528301, 82.58060663959874
2022-04-23 00:01:17, 102.3, 65.23867924528301, 82.58060663959874
2022-04-23 00:01:21, 102.3, 65.23867924528301, 82.58060663959874
2022-04-23 00:01:25, 102.3, 65.23867924528301, 82.58060663959874
2022-04-23 00:01:32, 102.3, 65.23867924528301, 82.58060663959874
2022-04-23 00:01:36, 102.3, 65.23867924528301, 82.58060663959874
2022-04-23 00:01:42, 102.3, 65.23867924528301, 82.58060663959874
2022-04-23 00:01:46, 102.3, 65.23867924528301, 82.58060663959874
2022-04-23 00:01:51, 102.3, 65.23867924528301, 82.58060663959874
2022-04-23 00:01:57, 102.3, 65.23867924528301, 82.58060663959874
2022-04-23 00:02:01, 102.3, 65.23867924528301, 82.58060663959874
2022-04-23 00:02:07, 102.3, 65.23867924528301, 82.58060663959874
2022-04-23 00:02:12, 102.3, 65.23867924528301, 82.58060663959874
2022-04-23 00:02:16, 102.3, 65.23867924528301, 82.58060663959874
2022-04-23 00:02:22, 102.3, 65.23867924528301, 82.58060663959874
2022-04-23 00:02:26, 102.3, 65.23867924528301, 82.58060663959874
2022-04-23 00:02:32, 102.3, 65.23867924528301, 82.58060663959874
2022-04-23 00:02:36, 102.3, 65.23867924528301, 82.58060663959874
2022-04-23 00:02:41, 102.3, 65.23867924528301, 82.58060663959874
2022-04-23 00:02:47, 102.3, 65.23867924528301, 82.58060663959874
2022-04-23 00:02:51, 102.3, 65.23867924528301, 82.58060663959874
2022-04-23 00:02:57, 102.3, 65.23867924528301, 82.58060663959874
2022-04-23 00:03:02, 102.3, 65.23867924528301, 82.58060663959874
2022-04-23 00:03:06, 102.3, 65.23867924528301, 82.58060663959874
2022-04-23 00:03:12, 102.3, 65.23867924528301, 82.58060663959874
2022-04-23 00:03:16, 102.3, 65.23867924528301, 82.58060663959874
2022-04-23 00:03:23, 102.3, 65.23867924528301, 82.58060663959874
2022-04-23 00:03:27, 102.3, 65.23867924528301, 82.58060663959874
2022-04-23 00:03:31, 102.3, 65.23867924528301, 82.58060663959874
2022-04-23 00:03:37, 102.3, 65.23867924528301, 82.58060663959874
2022-04-23 00:03:41, 102.3, 65.23867924528301, 82.58060663959874
2022-04-23 00:03:48, 102.3, 65.23867924528301, 82.58060663959874
2022-04-23 00:03:52, 102.3, 65.23867924528301, 82.58060663959874
2022-04-23 00:03:56, 102.3, 65.23867924528301, 82.58060663959874
2022-04-23 00:04:02, 102.3, 65.23867924528301, 82.58060663959874
2022-04-23 00:04:07, 102.3, 65.23867924528301, 82.58060663959874
2022-04-23 00:04:13, 102.3, 65.23867924528301, 82.58060663959874
2022-04-23 00:04:17, 102.3, 65.23867924528301, 82.58060663959874
2022-04-23 00:04:21, 102.3, 65.23867924528301, 82.58060663959874
2022-04-23 00:04:28, 102.3, 65.23867924528301, 82.58060663959874
2022-04-23 00:04:32, 102.3, 65.23867924528301, 82.58060663959874
2022-04-23 00:04:38, 102.3, 65.23867924528301, 82.58060663959874
2022-04-23 00:04:42, 102.3, 65.23867924528301, 82.58060663959874
2022-04-23 00:04:46, 102.3, 65.23867924528301, 82.58060663959874
2022-04-23 00:04:52, 102.3, 65.23867924528301, 82.58060663959874
2022-04-23 00:04:56, 102.3, 65.23867924528301, 82.58060663959874
2022-04-23 00:05:03, 102.3, 65.23867924528301, 82.58060663959874
2022-04-23 00:05:07, 102.3, 65.23867924528301, 82.58060663959874
2022-04-23 00:05:13, 102.3, 65.23867924528301, 82.58060663959874
2022-04-23 00:05:17, 102.3, 65.23867924528301, 82.58060663959874
2022-04-23 00:05:22, 102.3, 65.23867924528301, 82.58060663959874
2022-04-23 00:05:28, 102.3, 65.23867924528301, 82.58060663959874
2022-04-23 00:05:32, 102.3, 65.23867924528301, 82.58060663959874
2022-04-23 00:05:36, 102.3, 65.23867924528301, 82.58060663959874
2022-04-23 00:05:43, 102.3, 65.23867924528301, 82.58060663959874
2022-04-23 00:05:47, 102.3, 65.23867924528301, 82.58060663959874
2022-04-23 00:05:53, 102.3, 65.23867924528301, 82.58060663959874
2022-04-23 00:05:57, 102.3, 65.23867924528301, 82.58060663959874
2022-04-23 00:06:01, 102.3, 65.23867924528301, 82.58060663959874
2022-04-23 00:06:08, 102.3, 65.23867924528301, 82.58060663959874
2022-04-23 00:06:12, 102.3, 65.23867924528301, 82.58060663959874
2022-04-23 00:06:18, 102.3, 65.23867924528301, 82.58060663959874
2022-04-23 00:06:22, 102.3, 65.23867924528301, 82.58060663959874
2022-04-23 00:06:27, 102.3, 65.23867924528301, 82.58060663959874
2022-04-23 00:06:33, 102.3, 65.23867924528301, 82.58060663959874
2022-04-23 00:06:37, 102.3, 65.23867924528301, 82.58060663959874
2022-04-23 00:06:43, 102.3, 65.23867924528301, 82.58060663959874
2022-04-23 00:06:48, 102.3, 65.23867924528301, 82.58060663959874
2022-04-23 00:06:52, 102.3, 65.23867924528301, 82.58060663959874
2022-04-23 00:06:58, 102.3, 65.23867924528301, 82.58060663959874
2022-04-23 00:07:02, 102.3, 65.23867924528301, 82.58060663959874
2022-04-23 00:07:08, 102.3, 65.23867924528301, 82.58060663959874
2022-04-23 00:07:13, 102.3, 65.23867924528301, 82.58060663959874
2022-04-23 00:07:17, 102.3, 65.23867924528301, 82.58060663959874
2022-04-23 00:07:23, 102.3, 65.23867924528301, 82.58060663959874
2022-04-23 00:07:27, 102.3, 65.23867924528301, 82.58060663959874
2022-04-23 00:07:32, 102.3, 65.23867924528301, 82.58060663959874
2022-04-23 00:07:38, 102.3, 65.23867924528301, 82.58060663959874
2022-04-23 00:07:42, 102.3, 65.23867924528301, 82.58060663959874
2022-04-23 00:07:48, 102.3, 65.23867924528301, 82.58060663959874
2022-04-23 00:07:53, 102.3, 65.23867924528301, 82.58060663959874
2022-04-23 00:07:57, 102.3, 65.23867924528301, 82.58060663959874
2022-04-23 00:08:03, 102.3, 65.23867924528301, 82.58060663959874
2022-04-23 00:08:07, 102.3, 65.23867924528301, 82.58060663959874
2022-04-23 00:08:14, 102.3, 65.23867924528301, 82.58060663959874
2022-04-23 00:08:18, 102.3, 65.23867924528301, 82.58060663959874
2022-04-23 00:08:22, 102.3, 65.23867924528301, 82.58060663959874
2022-04-23 00:08:28, 102.3, 65.23867924528301, 82.58060663959874
2022-04-23 00:08:33, 102.3, 65.23867924528301, 82.58060663959874
2022-04-23 00:08:39, 102.3, 65.23867924528301, 82.58060663959874
